Transaction_Id,Time_stamp,Card_id,Merchant_ID,Registered_Address_Location,Merchant_Location,Amount_usd
TX_000048,2026-02-07 12:41:12,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",13.57
TX_000049,2026-02-07 20:04:28,CARD_01,M_00274,"(53.561034, 9.989552)","(53.541913, 9.968205)",13.86
TX_000050,2026-02-07 22:27:04,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",22.34
TX_000051,2026-02-01 22:06:00,CARD_01,M_00277,"(53.561034, 9.989552)","(53.56068, 10.00371)",84.23
TX_000052,2026-02-02 00:16:56,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",8.89
TX_000053,2026-02-02 03:52:46,CARD_01,M_00146,"(53.561034, 9.989552)","(53.550855, 9.966782)",48.68
TX_000054,2026-02-02 04:35:29,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",42.53
TX_000055,2026-02-02 05:51:01,CARD_01,M_00284,"(53.561034, 9.989552)","(53.535624, 9.95636)",82.18
TX_000056,2026-02-02 11:02:41,CARD_01,M_00017,"(53.561034, 9.989552)","(53.550383, 10.040639)",1.99
TX_000057,2026-02-02 15:31:00,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",55.01
TX_000058,2026-02-02 22:05:18,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",43.86
TX_000059,2026-02-03 06:15:28,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",19.21
TX_000060,2026-02-03 10:40:56,CARD_01,M_00017,"(53.561034, 9.989552)","(53.550383, 10.040639)",4.56
TX_000061,2026-02-03 12:50:04,CARD_01,M_00016,"(53.561034, 9.989552)","(53.558328, 10.039841)",5.38
TX_000062,2026-02-03 16:21:05,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",30.51
TX_000063,2026-02-03 21:27:47,CARD_01,M_00146,"(53.561034, 9.989552)","(53.550855, 9.966782)",65.59
TX_000064,2026-02-04 00:49:40,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",3.37
TX_000065,2026-02-04 06:36:46,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",7.63
TX_000066,2026-02-04 18:23:55,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",31.57
TX_000067,2026-02-05 06:43:05,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",19.74
TX_000068,2026-02-05 14:43:30,CARD_01,M_00210,"(53.561034, 9.989552)","(53.540027, 9.957764)",10.28
TX_000069,2026-02-05 19:19:44,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",11.55
TX_000070,2026-02-06 00:02:05,CARD_01,M_00344,"(53.561034, 9.989552)","(53.551469, 10.004127)",165.15
TX_000071,2026-02-06 04:49:35,CARD_01,M_00110,"(53.561034, 9.989552)","(53.559976, 10.016939)",23.38
TX_000072,2026-02-06 10:49:19,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",30.17
TX_000073,2026-02-06 12:23:27,CARD_01,M_00096,"(53.561034, 9.989552)","(53.536493, 10.000194)",32.35
TX_000074,2026-02-06 14:15:19,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",4.72
TX_000075,2026-02-06 16:34:31,CARD_01,M_00226,"(53.561034, 9.989552)","(53.550941, 10.038098)",11.12
TX_000076,2026-02-07 06:27:55,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",8.82
TX_000077,2026-02-07 10:08:40,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",46.41
TX_000078,2026-02-06 08:30:00,CARD_01,M_00358,"(53.561034, 9.989552)","(53.532112, 10.072671)",180.71
TX_000079,2026-02-06 13:03:20,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",10.68
TX_000080,2026-02-06 18:30:47,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",10.21
TX_000081,2026-02-06 19:58:12,CARD_01,M_00172,"(53.561034, 9.989552)","(53.508622, 9.977927)",87.26
TX_000082,2026-02-07 02:14:21,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",37.9
TX_000083,2026-02-07 03:54:09,CARD_01,M_00184,"(53.561034, 9.989552)","(53.529748, 9.989429)",62.89
TX_000084,2026-02-07 05:36:57,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",13.57
TX_000085,2026-02-07 14:27:18,CARD_01,M_00233,"(53.561034, 9.989552)","(53.538087, 9.979086)",30.06
TX_000086,2026-02-07 19:20:20,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",12.36
TX_000087,2026-02-07 07:12:00,CARD_01,M_00096,"(53.561034, 9.989552)","(53.536493, 10.000194)",11.53
TX_000088,2026-02-07 13:57:05,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",32.31
TX_000089,2026-02-07 15:55:47,CARD_01,M_00169,"(53.561034, 9.989552)","(53.568546, 9.9992)",71.41
TX_000090,2026-02-07 20:54:42,CARD_01,M_00016,"(53.561034, 9.989552)","(53.558328, 10.039841)",5.97
TX_000091,2026-02-02 14:58:00,CARD_01,M_00146,"(53.561034, 9.989552)","(53.550855, 9.966782)",33.66
TX_000092,2026-02-02 18:41:39,CARD_01,M_00210,"(53.561034, 9.989552)","(53.540027, 9.957764)",34.78
TX_000093,2026-02-02 21:06:36,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",14.12
TX_000094,2026-02-02 23:33:56,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",23.86
TX_000095,2026-02-03 01:09:21,CARD_01,M_00094,"(53.561034, 9.989552)","(53.552386, 9.961368)",11.17
TX_000096,2026-02-03 04:58:53,CARD_01,M_00052,"(53.561034, 9.989552)","(53.51895, 9.999239)",36.63
TX_000097,2026-02-03 11:29:13,CARD_01,M_00096,"(53.561034, 9.989552)","(53.536493, 10.000194)",24.25
TX_000098,2026-02-03 23:27:55,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",38.05
TX_000099,2026-02-04 03:24:36,CARD_01,M_00203,"(53.561034, 9.989552)","(53.525011, 10.01379)",8.85
TX_000100,2026-02-04 07:22:12,CARD_01,M_00300,"(53.561034, 9.989552)","(53.525301, 9.954848)",150.48
TX_000101,2026-02-04 13:01:39,CARD_01,M_00052,"(53.561034, 9.989552)","(53.51895, 9.999239)",33.02
TX_000102,2026-02-04 19:19:25,CARD_01,M_00184,"(53.561034, 9.989552)","(53.529748, 9.989429)",63.46
TX_000103,2026-02-04 22:16:28,CARD_01,M_00358,"(53.561034, 9.989552)","(53.532112, 10.072671)",34.35
TX_000104,2026-02-05 00:03:58,CARD_01,M_00040,"(53.561034, 9.989552)","(53.573956, 10.016258)",2.3
TX_000105,2026-02-05 05:22:00,CARD_01,M_00146,"(53.561034, 9.989552)","(53.550855, 9.966782)",43.05
TX_000106,2026-02-05 09:11:10,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",12.57
TX_000107,2026-02-05 12:39:21,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",15.98
TX_000108,2026-02-05 18:16:44,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",5.14
TX_000109,2026-02-05 20:03:21,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",10.42
TX_000110,2026-02-06 00:21:20,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",21.73
TX_000111,2026-02-06 05:49:48,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",21.31
TX_000112,2026-02-06 07:27:19,CARD_01,M_00016,"(53.561034, 9.989552)","(53.558328, 10.039841)",4.57
TX_000113,2026-02-06 12:49:52,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",0.5
TX_000114,2026-02-06 17:25:28,CARD_01,M_00203,"(53.561034, 9.989552)","(53.525011, 10.01379)",33.31
TX_000115,2026-02-07 01:34:36,CARD_01,M_00036,"(53.561034, 9.989552)","(53.512725, 9.992905)",3.67
TX_000116,2026-02-07 05:08:29,CARD_01,M_00029,"(53.561034, 9.989552)","(53.557022, 10.001532)",3.76
TX_000117,2026-02-07 08:06:27,CARD_01,M_00027,"(53.561034, 9.989552)","(53.537059, 9.98387)",2.66
TX_000118,2026-02-07 14:55:49,CARD_01,M_00181,"(53.561034, 9.989552)","(53.519211, 9.975719)",35.4
TX_000119,2026-02-07 18:04:57,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",43.82
TX_000120,2026-02-03 21:54:00,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",43.54
TX_000121,2026-02-03 23:51:09,CARD_01,M_00169,"(53.561034, 9.989552)","(53.568546, 9.9992)",59.72
TX_000122,2026-02-04 05:24:10,CARD_01,M_00181,"(53.561034, 9.989552)","(53.519211, 9.975719)",38.52
TX_000123,2026-02-04 09:01:40,CARD_01,M_00274,"(53.561034, 9.989552)","(53.541913, 9.968205)",30.83
TX_000124,2026-02-04 09:51:36,CARD_01,M_00359,"(53.561034, 9.989552)","(53.560966, 9.999245)",211.39
TX_000125,2026-02-04 11:17:30,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",62.2
TX_000126,2026-02-04 13:36:09,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",7.52
TX_000127,2026-02-04 17:48:55,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",60.19
TX_000128,2026-02-04 21:56:03,CARD_01,M_00029,"(53.561034, 9.989552)","(53.557022, 10.001532)",3.54
TX_000129,2026-02-05 06:27:36,CARD_01,M_00110,"(53.561034, 9.989552)","(53.559976, 10.016939)",8.58
TX_000130,2026-02-05 11:51:36,CARD_01,M_00029,"(53.561034, 9.989552)","(53.557022, 10.001532)",3.56
TX_000131,2026-02-05 18:32:58,CARD_01,M_00040,"(53.561034, 9.989552)","(53.573956, 10.016258)",5.7
TX_000132,2026-02-05 20:34:24,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",33.06
TX_000133,2026-02-05 22:18:20,CARD_01,M_00214,"(53.561034, 9.989552)","(53.563383, 10.016425)",11.56
TX_000134,2026-02-06 05:11:29,CARD_01,M_00226,"(53.561034, 9.989552)","(53.550941, 10.038098)",25.46
TX_000135,2026-02-06 10:47:33,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",17.37
TX_000136,2026-02-06 11:19:05,CARD_01,M_00233,"(53.561034, 9.989552)","(53.538087, 9.979086)",13.16
TX_000137,2026-02-06 14:13:01,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",18.02
TX_000138,2026-02-06 16:34:23,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",17.86
TX_000139,2026-02-06 18:29:43,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",16.64
TX_000140,2026-02-07 02:26:26,CARD_01,M_00187,"(53.561034, 9.989552)","(53.520418, 10.03203)",58.3
TX_000141,2026-02-07 05:56:39,CARD_01,M_00329,"(53.561034, 9.989552)","(53.557623, 9.956167)",219.06
TX_000142,2026-02-07 09:44:09,CARD_01,M_00181,"(53.561034, 9.989552)","(53.519211, 9.975719)",25.81
TX_000143,2026-02-07 13:41:16,CARD_01,M_00233,"(53.561034, 9.989552)","(53.538087, 9.979086)",30.9
TX_000144,2026-02-07 19:34:45,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",42.91
TX_000145,2026-02-07 21:18:35,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",3.8
TX_000146,2026-02-06 03:09:00,CARD_01,M_00203,"(53.561034, 9.989552)","(53.525011, 10.01379)",29.97
TX_000147,2026-02-06 05:27:09,CARD_01,M_00036,"(53.561034, 9.989552)","(53.512725, 9.992905)",2.76
TX_000148,2026-02-06 06:54:19,CARD_01,M_00114,"(53.561034, 9.989552)","(53.583748, 9.950796)",33.54
TX_000149,2026-02-06 09:38:59,CARD_01,M_00172,"(53.561034, 9.989552)","(53.508622, 9.977927)",90.26
TX_000150,2026-02-06 11:41:03,CARD_01,M_00210,"(53.561034, 9.989552)","(53.540027, 9.957764)",12.48
TX_000151,2026-02-07 03:40:42,CARD_01,M_00029,"(53.561034, 9.989552)","(53.557022, 10.001532)",6.73
TX_000152,2026-02-07 15:18:14,CARD_01,M_00229,"(53.561034, 9.989552)","(53.530355, 9.98799)",25.78
TX_000153,2026-02-07 17:43:29,CARD_01,M_00016,"(53.561034, 9.989552)","(53.558328, 10.039841)",5.84
TX_000154,2026-02-07 19:57:00,CARD_01,M_00344,"(53.561034, 9.989552)","(53.551469, 10.004127)",28.66
TX_000155,2026-02-07 23:10:43,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",36.64
TX_000156,2026-02-07 23:43:00,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",25.03
TX_000157,2026-02-01 19:52:00,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",49.58
TX_000158,2026-02-01 20:24:50,CARD_01,M_00052,"(53.561034, 9.989552)","(53.51895, 9.999239)",33.97
TX_000159,2026-02-01 21:06:00,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",19.23
TX_000160,2026-02-02 00:19:32,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",15.62
TX_000161,2026-02-02 00:25:33,CARD_01,M_00036,"(53.561034, 9.989552)","(53.512725, 9.992905)",1.05
TX_000162,2026-02-02 03:44:11,CARD_01,M_00284,"(53.561034, 9.989552)","(53.535624, 9.95636)",25.1
TX_000163,2026-02-02 08:21:24,CARD_01,M_00233,"(53.561034, 9.989552)","(53.538087, 9.979086)",8.24
TX_000164,2026-02-02 10:08:37,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",18.4
TX_000165,2026-02-02 12:05:04,CARD_01,M_00284,"(53.561034, 9.989552)","(53.535624, 9.95636)",53.44
TX_000166,2026-02-02 15:46:46,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",0.5
TX_000167,2026-02-02 22:29:13,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",13.73
TX_000168,2026-02-03 02:27:51,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",1.06
TX_000169,2026-02-03 04:55:49,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",4.23
TX_000170,2026-02-03 10:26:15,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",0.5
TX_000171,2026-02-03 18:20:36,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",40.86
TX_000172,2026-02-03 20:58:41,CARD_01,M_00169,"(53.561034, 9.989552)","(53.568546, 9.9992)",67.72
TX_000173,2026-02-04 02:56:37,CARD_01,M_00274,"(53.561034, 9.989552)","(53.541913, 9.968205)",114.63
TX_000174,2026-02-04 04:50:21,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",38.11
TX_000175,2026-02-04 11:37:38,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",15.21
TX_000176,2026-02-04 15:33:57,CARD_01,M_00330,"(53.561034, 9.989552)","(53.569581, 9.988153)",68.32
TX_000177,2026-02-04 17:30:48,CARD_01,M_00110,"(53.561034, 9.989552)","(53.559976, 10.016939)",4.98
TX_000178,2026-02-04 21:30:44,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",9.96
TX_000179,2026-02-05 01:04:53,CARD_01,M_00181,"(53.561034, 9.989552)","(53.519211, 9.975719)",46.75
TX_000180,2026-02-05 05:41:31,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",14.47
TX_000181,2026-02-05 06:19:28,CARD_01,M_00184,"(53.561034, 9.989552)","(53.529748, 9.989429)",63.61
TX_000182,2026-02-05 08:57:51,CARD_01,M_00169,"(53.561034, 9.989552)","(53.568546, 9.9992)",83.06
TX_000183,2026-02-05 16:04:38,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",16.59
TX_000184,2026-02-05 18:58:07,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",9.17
TX_000185,2026-02-05 22:10:58,CARD_01,M_00040,"(53.561034, 9.989552)","(53.573956, 10.016258)",3.1
TX_000186,2026-02-06 01:58:58,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",53.42
TX_000187,2026-02-06 09:49:01,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",22.03
TX_000188,2026-02-06 17:49:32,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",30.13
TX_000189,2026-02-06 19:45:44,CARD_01,M_00344,"(53.561034, 9.989552)","(53.551469, 10.004127)",167.72
TX_000190,2026-02-06 21:21:55,CARD_01,M_00330,"(53.561034, 9.989552)","(53.569581, 9.988153)",211.19
TX_000191,2026-02-07 00:51:18,CARD_01,M_00094,"(53.561034, 9.989552)","(53.552386, 9.961368)",0.5
TX_000192,2026-02-07 07:23:19,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",39.65
TX_000193,2026-02-07 09:35:17,CARD_01,M_00226,"(53.561034, 9.989552)","(53.550941, 10.038098)",0.5
TX_000194,2026-02-07 16:46:04,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",8.98
TX_000195,2026-02-07 21:36:50,CARD_01,M_00202,"(53.561034, 9.989552)","(53.509751, 9.991026)",10.1
TX_000196,2026-02-06 20:37:00,CARD_01,M_00052,"(53.561034, 9.989552)","(53.51895, 9.999239)",28.38
TX_000197,2026-02-07 00:42:21,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",59.15
TX_000198,2026-02-07 08:00:53,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",2.78
TX_000199,2026-02-07 13:45:53,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",19.77
TX_000200,2026-02-07 15:25:53,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",30.7
TX_000201,2026-02-07 21:59:31,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",33.98
TX_000202,2026-02-07 00:12:00,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",42.34
TX_000203,2026-02-07 05:52:47,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",18.22
TX_000204,2026-02-07 08:21:03,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",14.57
TX_000205,2026-02-07 19:41:47,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",5.61
TX_000206,2026-02-07 22:40:38,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",45.3
TX_000207,2026-02-02 07:08:00,CARD_01,M_00017,"(53.561034, 9.989552)","(53.550383, 10.040639)",4.58
TX_000208,2026-02-02 15:01:35,CARD_01,M_00344,"(53.561034, 9.989552)","(53.551469, 10.004127)",141.21
TX_000209,2026-02-02 20:48:10,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",0.5
TX_000210,2026-02-03 02:42:42,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",43.94
TX_000211,2026-02-03 07:06:34,CARD_01,M_00226,"(53.561034, 9.989552)","(53.550941, 10.038098)",34.4
TX_000212,2026-02-03 13:15:36,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",23.38
TX_000213,2026-02-03 13:31:28,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",12.31
TX_000214,2026-02-04 00:04:09,CARD_01,M_00017,"(53.561034, 9.989552)","(53.550383, 10.040639)",3.97
TX_000215,2026-02-04 00:26:09,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",12.31
TX_000216,2026-02-04 03:56:48,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",29.13
TX_000217,2026-02-04 07:41:55,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",27.67
TX_000218,2026-02-04 09:43:51,CARD_01,M_00181,"(53.561034, 9.989552)","(53.519211, 9.975719)",66.79
TX_000219,2026-02-04 12:59:33,CARD_01,M_00029,"(53.561034, 9.989552)","(53.557022, 10.001532)",4.12
TX_000220,2026-02-04 14:56:45,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",9.21
TX_000221,2026-02-04 17:09:51,CARD_01,M_00146,"(53.561034, 9.989552)","(53.550855, 9.966782)",32.81
TX_000222,2026-02-04 22:28:02,CARD_01,M_00114,"(53.561034, 9.989552)","(53.583748, 9.950796)",19.3
TX_000223,2026-02-05 00:45:36,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",1.92
TX_000224,2026-02-05 02:51:10,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",37.21
TX_000225,2026-02-05 06:08:42,CARD_01,M_00210,"(53.561034, 9.989552)","(53.540027, 9.957764)",17.01
TX_000226,2026-02-05 09:55:48,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",14.67
TX_000227,2026-02-05 15:41:13,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",3.99
